familyID	DNA_within_phenotype_abundance__value	DNA_within_phenotype_abundance__percentile	DNA_within_phenotype_prevalence__value	DNA_within_phenotype_prevalence__percentile	MaAsLin2_DA__mean_log__value	MaAsLin2_DA__mean_log__percentile	MaAsLin2_DA__qvalue__value	MaAsLin2_DA__qvalue__percentile	priority_score
Cluster_665|CD_vs_nonIBD	1903.0428735294122	0.8553459119496856	1.0	1.0	-3.6068703608965857	0.909853249475891	1.82288194004205e-05	0.906927921623513	0.9151602006121271
Cluster_535|CD_vs_nonIBD	2278.881032352942	0.9650593990216632	1.0	1.0	-3.480698435188194	0.859538784067086	0.000126271558299362	0.7137858642407278	0.8694516831838088
Cluster_36|CD_vs_nonIBD	1664.6560147058822	0.7847658979734451	1.0	1.0	-3.5689401501685043	0.8951781970649895	8.52759337109597e-05	0.7557732680195941	0.8484445681246076
Cluster_89|CD_vs_nonIBD	1930.989823529412	0.8644304682040531	0.9705882352941176	0.8460987831066571	-3.6142316966396306	0.9126484975541579	8.18951202672685e-05	0.7585724282715185	0.8416261711676816
Cluster_675|CD_vs_nonIBD	1820.0980588235295	0.8259958071278826	0.9705882352941176	0.8460987831066571	-3.4525812954061634	0.8455625436757512	9.11873105742839e-05	0.7438768369489154	0.8130894092227829
Cluster_628|CD_vs_nonIBD	1788.7261176470583	0.8176100628930818	0.9705882352941176	0.8460987831066571	-3.308893874919711	0.7714884696016772	0.000143602495701172	0.6997900629811057	0.7797016118412777
Cluster_721|CD_vs_nonIBD	1788.2179411764705	0.816911250873515	0.9705882352941176	0.8460987831066571	-3.64589804353514	0.9217330538085255	0.000431106685512872	0.5528341497550735	0.754746623093642
Cluster_353|CD_vs_nonIBD	2021.948041176471	0.8944793850454228	1.0	1.0	-3.148131849869271	0.6575821104122991	0.000293479271613794	0.6011196641007698	0.7543961966081146
Cluster_363|CD_vs_nonIBD	994.1658547058822	0.5639412997903563	0.9558823529411765	0.7154617036506801	3.42340542096111	0.8294898672257163	1.18847805048273e-05	0.9328201539538139	0.7341454916192811
Cluster_849|CD_vs_nonIBD	1074.3620055882352	0.6079664570230608	0.9117647058823529	0.6306370794559771	3.3413268810384094	0.7889587700908456	1.39136237176998e-05	0.92407277816655	0.7168221305377807
Cluster_13|CD_vs_nonIBD	1543.9245000000003	0.7707896575821104	0.9705882352941176	0.8460987831066571	-3.094040536326297	0.6219426974143956	0.000254848969721507	0.6151154653603919	0.7001768869767342
Cluster_355|CD_vs_nonIBD	1112.1913	0.6324248777078966	0.8970588235294118	0.5909090909090909	3.2256025768561725	0.7071977638015374	5.90530114055347e-06	0.9555633310006998	0.6975862597352769
Cluster_377|CD_vs_nonIBD	2111.498032352941	0.9196366177498253	1.0	1.0	-3.2972058471054835	0.7645003494060097	0.0013845755326276	0.4160251924422673	0.6897585788016795
Cluster_483|CD_vs_nonIBD	860.7981470588234	0.46261355695317957	0.9705882352941176	0.8460987831066571	-3.9308459050006186	0.9741439552760307	0.000156162823116674	0.6815955213435969	0.6852583389597342
Cluster_1012|CD_vs_nonIBD	1153.8091872058826	0.6617749825296995	0.8970588235294118	0.5909090909090909	3.2448633614695463	0.7260656883298393	6.66329176247345e-05	0.7802659202239328	0.682326568721884
Cluster_597|CD_vs_nonIBD	1314.3819411764707	0.7225716282320056	0.9117647058823529	0.6306370794559771	3.187803582088152	0.684136967155835	0.00014489500718198	0.6906927921623512	0.6803691654263939
Cluster_623|CD_vs_nonIBD	929.137055	0.5178197064989518	0.8823529411764706	0.5468861846814602	3.5176223259739166	0.8742138364779874	2.04152783520264e-06	0.9846046186144157	0.6757636713200351
Cluster_703|CD_vs_nonIBD	1950.6399411764705	0.8707197763801537	0.9705882352941176	0.8460987831066571	-3.183614581983374	0.6785464709993012	0.000882768240550652	0.4667599720083975	0.6726603605005896
Cluster_881|CD_vs_nonIBD	1138.6343035294115	0.6540880503144654	0.8676470588235294	0.5035790980672871	3.4809314100812982	0.8602375960866527	0.000146505882062269	0.6889433170048985	0.6526776874057278
Cluster_330|CD_vs_nonIBD	1450.9105710294116	0.7554157931516422	0.9117647058823529	0.6306370794559771	3.1489262001398433	0.6582809224318659	0.000514081298450604	0.5325402379286214	0.6342790051101506
Cluster_478|CD_vs_nonIBD	864.1717945588235	0.46540880503144655	0.8823529411764706	0.5468861846814602	3.370021915614841	0.806429070580014	1.62197892988972e-05	0.9111266620013996	0.6334366251442669
Cluster_657|CD_vs_nonIBD	1063.8345954411764	0.6002795248078266	0.8970588235294118	0.5909090909090909	2.9778283025807855	0.559748427672956	4.42289673714422e-05	0.8128061581525542	0.6274489375236714
Cluster_357|CD_vs_nonIBD	1920.0780588235295	0.8602375960866527	0.9705882352941176	0.8460987831066571	-3.0500356680346723	0.5925925925925926	0.00130256998978474	0.42477256822953113	0.6263637486619451
Cluster_807|CD_vs_nonIBD	842.0573624999998	0.45143256464011183	0.9117647058823529	0.6306370794559771	3.074135310093874	0.6051712089447938	4.38627898133052e-06	0.9688593421973408	0.6167666605544968
Cluster_513|CD_vs_nonIBD	862.0250154411766	0.4647099930118798	0.8823529411764706	0.5468861846814602	3.127958361438865	0.6464011180992313	3.26597963035023e-06	0.9762071378586424	0.6105179870105008
Cluster_354|CD_vs_nonIBD	2148.8439117647054	0.9350104821802935	0.9705882352941176	0.8460987831066571	-2.7784343308642514	0.4451432564640112	0.000819324561588462	0.4800559832050385	0.6078140560065048
Cluster_726|CD_vs_nonIBD	1008.2713294117643	0.570230607966457	0.8382352941176471	0.4169649248389406	3.050062678499255	0.5932914046121593	4.33149179875395e-05	0.824702589223233	0.5673734370207153
Cluster_1051|CD_vs_nonIBD	1046.0659882352938	0.593990216631726	0.8529411764705882	0.4574087329992842	2.7732271829878825	0.44234800838574423	3.00205085606195e-05	0.8614415675297411	0.5486015552005793
Cluster_578|CD_vs_nonIBD	849.9173852941178	0.4549266247379455	0.9705882352941176	0.8460987831066571	-3.4047785381711746	0.8232005590496156	0.00399822975989355	0.32995101469559135	0.5245505740024972
Cluster_740|CD_vs_nonIBD	727.8920154411763	0.36827393431167016	0.7647058823529411	0.2999284180386543	4.202457911172107	0.9916142557651991	4.72794287688157e-06	0.9643107067879636	0.4941342730869029
Cluster_384|CD_vs_nonIBD	578.0888210294116	0.29979035639413	0.9117647058823529	0.6306370794559771	2.8103567941876286	0.4605171208944794	8.6590763244242e-06	0.946815955213436	0.4908574243539238
Cluster_1279|CD_vs_nonIBD	1082.6101029411766	0.6121593291404612	0.8529411764705882	0.4574087329992842	-2.5699114679622257	0.36547868623340324	0.000514567256813834	0.5314905528341498	0.4740780756787831
Cluster_643|CD_vs_nonIBD	506.59682029411766	0.2585604472396925	0.9705882352941176	0.8460987831066571	-2.7461825203439076	0.4276729559748428	4.177938492483e-05	0.8334499650104968	0.46579167544822675
Cluster_217|CD_vs_nonIBD	457.73214698529415	0.2348008385744235	0.9117647058823529	0.6306370794559771	2.9847467012877535	0.5618448637316562	2.42069618070911e-05	0.8887333799860042	0.4571598771546392
Cluster_514|CD_vs_nonIBD	1157.4675711764705	0.663172606568833	0.8529411764705882	0.4574087329992842	-3.046806860547408	0.5918937805730259	0.01024146505696	0.26522043386983907	0.43696398933104386
Cluster_40|CD_vs_nonIBD	611.3671860294116	0.3116701607267645	0.9264705882352942	0.6639226914817467	2.649838709467293	0.39622641509433965	0.000637837942400322	0.5045486354093772	0.43381601705456724
Cluster_470|CD_vs_nonIBD	517.990710882353	0.2641509433962264	0.7058823529411765	0.25125268432355047	3.325259370401417	0.7812718378756115	3.23262025888873e-05	0.8533939818054583	0.3914841545850445
Cluster_59|CD_vs_nonIBD	1121.463904647059	0.6401118099231307	0.8823529411764706	0.5468861846814602	-2.6834076821924264	0.4074074074074074	0.0264508643478371	0.21483554933519944	0.3809513038676909
Cluster_664|CD_vs_nonIBD	722.6977452941175	0.36617749825296997	0.8088235294117647	0.3647100930565497	2.7632164623296918	0.43535988819007687	0.00629208876670935	0.2998600419874038	0.3602091618579521
Cluster_565|CD_vs_nonIBD	1250.449611764706	0.70020964360587	0.8235294117647058	0.38976377952755903	-2.8336502717560488	0.469601677148847	0.0384756067960918	0.19104268719384185	0.35218408018879893
Cluster_215|CD_vs_nonIBD	340.61191351470586	0.16911250873515024	0.9264705882352942	0.6639226914817467	2.435311442090097	0.33752620545073375	0.00123117135075285	0.4275717284814556	0.3144420631783757
Cluster_620|CD_vs_nonIBD	503.05747941176463	0.2557651991614256	0.8235294117647058	0.38976377952755903	1.9467501188545948	0.2348008385744235	0.00351442552229095	0.33869839048285516	0.292250242329961
Cluster_864|CD_vs_nonIBD	292.13772288235293	0.13626834381551362	0.6470588235294118	0.19720830350751611	2.9324683726383123	0.527603074772886	0.00306448964480616	0.35059482155353394	0.23314232934813278
Cluster_1205|CD_vs_nonIBD	815.0581132352941	0.42697414395527605	0.7647058823529411	0.2999284180386543	-1.6676393002442333	0.1816911250873515	0.0756193277794491	0.14730580825752274	0.22261011044495424
Cluster_389|CD_vs_nonIBD	1196.0809135294119	0.6792452830188679	0.8529411764705882	0.4574087329992842	-1.81318338902059	0.20405310971348709	0.145356836483547	0.09097270818754374	0.20458847630258378
Cluster_1401|CD_vs_nonIBD	257.34327397058814	0.1090146750524109	0.6323529411764706	0.1896921975662133	2.030580717059574	0.25506638714185886	0.00014489500718198	0.6906927921623512	0.20188617546402332
Cluster_230|CD_vs_nonIBD	147.4874989705882	0.047519217330538085	0.7941176470588235	0.3403722261989979	3.1927649762811363	0.686932215234102	6.32139552154979e-05	0.7830650804758572	0.1497294101398246
Cluster_937|CD_vs_nonIBD	489.8168535294118	0.24807826694619148	0.47058823529411764	0.08911954187544739	-1.464263726000019	0.14395527603074773	0.112329035952674	0.11161651504548635	0.12837910229657387
Cluster_663|CD_vs_nonIBD	199.91716794117647	0.07617051013277429	0.5294117647058824	0.11739441660701504	1.4825266533585955	0.1474493361285814	0.0173010052101818	0.2344296710986704	0.12234512900264292
Cluster_214|CD_vs_nonIBD	101.86429902941175	0.03424178895877009	0.8676470588235294	0.5035790980672871	2.971413027399953	0.5562543675751223	0.00022805886242291	0.6368089573128062	0.11574765560693324
Cluster_220|CD_vs_nonIBD	134.09445180882355	0.041928721174004195	0.7941176470588235	0.3403722261989979	1.9982835088137787	0.24528301886792453	0.0159879801804103	0.23792862141357593	0.1140646755355867
Cluster_216|CD_vs_nonIBD	219.71019264705885	0.0859538784067086	0.6617647058823529	0.20830350751610593	1.2771726931626528	0.1243885394828791	0.36666367590496	0.05108467459762071	0.09080692912010731
Cluster_374|CD_vs_nonIBD	279.0139865588235	0.12858141160027953	0.5294117647058824	0.11739441660701504	0.8743351201445955	0.07826694619147449	0.260697906208448	0.06508047585724283	0.09001336847652665
Cluster_813|CD_vs_nonIBD	159.9027805882353	0.05660377358490566	0.5882352941176471	0.15497494631352898	-1.6564884928852748	0.18099231306778477	0.288932728747014	0.06088173547935619	0.08682495091324179
Cluster_1021|CD_vs_nonIBD	55.82370205882352	0.02166317260656883	0.6176470588235294	0.18110236220472442	-1.4649521758060173	0.14465408805031446	0.00269028480687799	0.3631910426871938	0.06520026404515021
Cluster_407|CD_vs_nonIBD	294.7602264705882	0.13976240391334732	0.36764705882352944	0.051181102362204724	-0.35513197081076	0.0286512928022362	0.718879984588965	0.013995801259622114	0.030064812091751544
Cluster_233|CD_vs_nonIBD	272.23827026470593	0.12368972746331237	0.29411764705882354	0.03614889047959914	-0.2624773518419731	0.02445842068483578	0.720157344156672	0.013296011196641007	0.026342764342908796
